Id,SalePrice
1461,119251.22111392346
1462,150256.7594670947
1463,179589.9070420857
1464,200250.73978629513
1465,201513.98997882835
1466,170571.4860982105
1467,182241.43917815786
1468,160611.64511694387
1469,197676.41387484167
1470,116695.30565519712
1471,194261.71355876044
1472,99308.04365462002
1473,95271.6866319754
1474,147879.5056914383
1475,110412.58192094488
1476,346257.55226765433
1477,243271.81607087294
1478,296081.20639026194
1479,297648.99290157994
1480,447187.6337204261
1481,316914.2969028926
1482,215248.5757168161
1483,180399.58259737934
1484,162462.24700246402
1485,200162.37772624491
1486,198400.38516652872
1487,326768.10388343624
1488,240487.42409069356
1489,186559.96952702585
1490,234832.40586369496
1491,197700.20657411258
1492,91916.413619201
1493,190115.46361958413
1494,295610.50958114024
1495,288127.5303547126
1496,231399.79492173292
1497,176041.66483200318
1498,166973.4320750226
1499,164447.3984983056
1500,155024.62159072657
1501,170167.7537123452
1502,149855.8741376557
1503,282007.56231574697
1504,242861.6856253617
1505,224825.46078552154
1506,188107.04684377654
1507,244522.95543326504
1508,202380.17773061903
1509,165517.6976474966
1510,140665.0395408289
1511,146486.00721588684
1512,177212.41256677656
1513,152391.3413840793
1514,153180.30355320298
1515,195287.89894051032
1516,156005.32906796763
1517,170512.0626036407
1518,130741.806748069
1519,209120.756727292
1520,124069.94891099236
1521,128136.8475841131
1522,183086.2241938285
1523,107451.6048899988
1524,125700.3799163428
1525,119182.24274132458
1526,110422.73449827703
1527,107471.39610466963
1528,142378.36073167453
1529,146832.4554252395
1530,190144.43734929344
1531,106171.75416467691
1532,99819.03315925958
1533,142450.6190955679
1534,126800.1142256446
1535,149486.2836516722
1536,107797.15220324759
1537,63701.90430271524
1538,149800.63192030299
1539,195799.7128594139
1540,100721.31737270806
1541,139709.64670735458
1542,134293.59582772935
1543,176595.15091713454
1544,88351.25299504289
1545,118381.50081872531
1546,137674.38309335985
1547,126218.95407101962
1548,140576.5434171097
1549,122275.97561365363
1550,131300.00067690265
1551,108685.78651934773
1552,128505.25017754405
1553,146971.71518458697
1554,116882.58888048606
1555,153299.39424512922
1556,89228.51340284095
1557,105104.23503505772
1558,101139.99113792805
1559,67548.86029495829
1560,139722.1324914238
1561,125787.89361902431
1562,130748.8300187575
1563,116593.75999843552
